Raw Score," Inhibit","  Self-Monitor","  Shift","  Emotional Crontrol","  Initiate","  Working Memory","  Plan/Organize","  Task-Monitor","  Organization of Materials "
24,"[79,>99]","[null, null]","[89,>99]","[82,>99]","[null, null]","[80,>99]","[79,>99]","[null, null]","[null, null]"
23,"[77,99]","[null, null]","[86,>99]","[79,99]","[null, null]","[77,>99]","[76,>99]","[null, null]","[null, null]"
22,"[75,99]","[null, null]","[82,>99]","[77,99]","[null, null]","[74,>99]","[73,99]","[null, null]","[null, null]"
21,"[72,99]","[null, null]","[79,99]","[74,98]","[null, null]","[73,>99]","[71,99]","[null, null]","[null, null]"
20,"[69,96]","[null, null]","[76,99]","[71,97]","[null, null]","[69,99]","[68,99]","[null, null]","[null, null]"
19,"[66,94]","[null, null]","[73,98]","[69,95]","[null, null]","[66,96]","[66,99]","[null, null]","[null, null]"
18,"[63,90]","[null, null]","[70,95]","[66,94]","[null, null]","[64,93]","[63,97]","[null, null]","[76,>99]"
17,"[61,88]","[null, null]","[67,93]","[64,91]","[null, null]","[63,92]","[60,93]","[null, null]","[73,99]"
16,"[58,85]","[null, null]","[64,91]","[61,89]","[null, null]","[59,88]","[58,89]","[null, null]","[70,99]"
15,"[55,77]","[null, null]","[61,87]","[59,86]","[79,>99]","[55,80]","[55,83]","[73,>99]","[67,99]"
14,"[52,67]","[null, null]","[58,85]","[56,75]","[75,>99]","[52,76]","[52,75]","[69,98]","[63,97]"
13,"[50,55]","[null, null]","[55,77]","[53,66]","[71,99]","[50,66]","[50,66]","66,97]","[60,95]"
12,"[47,45]","[78,>99]","[52.68]","[51,62]","[67,98]","[49,51]","[47,60]","[62,96]","[57,88]"
11,"[44,34]","[74,98]","[49,60]","[48,55]","[63,97]","[45,43]","[45,49]","[58,90]","[54,79]"
10,"[41,27]","[68,96]","[45,47]","[46,49]","[59,93]","[43,35]","[42,43]","[54,80]","[50,69]"
9,"[38,19]","[63,95]","[42,34]","[43,43]","[55,81]","[40,22]","[39,28]","[50,62]","[47,59]"
8,"[36,10]","[58,90]","[39,21]","[40,32]","[50,71]","[37,14]","[37,14]","[46,45]","[45,43]"
7,"[null, null]","[53,71]","[null, null]","[null, null]","[46,55]","[null, null]","[null, null]","[44,37]","[42,33]"
6,"[null, null]","[48,50]","[null, null]","[null, null]","[42,47]","[null, null]","[null, null]","[39,25]","[38,19]"
5,"[null, null]","[43,37]","[null, null]","[null, null]","[38,27]","[null, null]","[null, null]","[35,14]","[null, null]"
4,"[null, null]","[38,23]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]"
