Total Raw," [T %]"
180,"[>90,>99]"
179,"[>90,>99]"
178,"[90,>99]"
177,"[90,>99]"
176,"[89,>99]"
175,"[89,>99]"
174,"[88,>99]"
173,"[88,>99]"
172,"[87,>99]"
171,"[87,>99]"
170,"[86,>99]"
169,"[86,99]"
168,"[85,99]"
167,"[85,99]"
166,"[84,99]"
165,"[84,99]"
164,"[84,99]"
163,"[83,99]"
162,"[83,99]"
161,"[82,99]"
160,"[82,99]"
159,"[81,99]"
158,"[81,99]"
157,"[80,99]"
156,"[80,99]"
155,"[79,99]"
154,"[79,99]"
153,"[78,99]"
152,"[78,99]"
151,"[77,98]"
150,"[77,98]"
149,"[76,97]"
148,"[76,97]"
147,"[76,97]"
146,"[75,95]"
145,"[75,95]"
144,"[74,95]"
143,"[74,95]"
142,"[73,93]"
141,"[73,93]"
140,"[72,93]"
139,"[72,93]"
138,"[71,93]"
137,"[71,93]"
136,"[70,93]"
135,"[70,93]"
134,"[69,91]"
133,"[69,91]"
132,"[69,91]"
131,"[68,90]"
130,"[68,90]"
129,"[67,89]"
128,"[67,89]"
127,"[66,88]"
126,"[66,88]"
125,"[65,87]"
124,"[65,87]"
123,"[64,87]"
122,"[64,87]"
121,"[63,87]"
120,"[63,87]"
119,"[62,83]"
118,"[62,83]"
117,"[61,83]"
116,"[61,83]"
115,"[61,83]"
114,"[60,81]"
113,"[60,81]"
112,"[59,81]"
111,"[59,81]"
110,"[58,77]"
109,"[58,77]"
108,"[57,75]"
107,"[57,75]"
106,"[56,72]"
105,"[56,72]"
104,"[55,68]"
103,"[55,68]"
102,"[55,68]"
101,"[54,65]"
100,"[54,65]"
99,"[53,63]"
98,"[53,63]"
97,"[52,62]"
96,"[51,60]"
95,"[51,60]"
94,"[50,58]"
93,"[50,58]"
92,"[49,52]"
91,"[49,52]"
90,"[49,52]"
89,"[48,47]"
88,"[47,45]"
87,"[47,45]"
86,"[47,45]"
85,"[47,45]"
84,"[46,39]"
83,"[45,38]"
82,"[45,38]"
81,"[45,38]"
80,"[44,34]"
79,"[44,34]"
78,"[43,31]"
77,"[43,31]"
76,"[43,31]"
75,"[42,27]"
74,"[42,27]"
73,"[41,23]"
72,"[41,23]"
71,"[41,23]"
70,"[40,17]"
69,"[40,17]"
68,"[39,16]"
67,"[39,16]"
66,"[39,16]"
65,"[38,12]"
64,"[38,12]"
63,"[37,3]"
62,"[37,3]"
61,"[36,3]"
60,"[36,3]"
