Raw Score,Inhibit,Self-Monitor,Shift,Emotional Crontrol,Initiate,Working Memory,Plan/Organize,Task-Monitor,Organization of Materials
24,"[>90,>99]","[null, null]","[>90,>99]","[83,>99]","[null, null]","[87,>99]","[79,>99]","[null, null]","[null, null]"
23,"[89,99]","[null, null]","[>90,>99]","[80,99]","[null, null]","[84,>99]","[77,>99]","[null, null]","[null, null]"
22,"[85,99]","[null, null]","[90,>99]","[78,98]","[null, null]","[82,>99]","[74,98]","[null, null]","[null, null]"
21,"[82,98]","[null, null]","[86,99]","[75,97]","[null, null]","[79,99]","[71,97]","[null, null]","[null, null]"
20,"[79,98]","[null, null]","[83,99]","[74,96]","[null, null]","[76,98]","[69,95]","[null, null]","[null, null]"
19,"[76,98]","[null, null]","[79,98]","[71,94]","[null, null]","[73,97]","[66,91]","[null, null]","[null, null]"
18,"[73,97]","[null, null]","[76,98]","[68,92]","[null, null]","[70,95]","[63,90]","[null, null]","[81,>99]"
17,"[69,95]","[null, null]","[72,97]","[65,89]","[null, null]","[67,92]","[61,87]","[null, null]","[78,99]"
16,"[66,93]","[null, null]","[68,94]","[62,86]","[null, null]","[64,90]","[58,83]","[null, null]","[74,98]"
15,"[63,91]","[null, null]","[65,91]","[60,81]","[84,>99]","[62,88]","[56,87]","[82,>99]","[71,97]"
14,"[60,86]","[null, null]","[61,88]","[57,76]","[79,99]","[59,85]","[53,69]","[78,99]","[67,94]"
13,"[57,83]","[null, null]","[58,83]","[54,74]","[75,98]","[56,80]","[51,61]","[74,97]","[64,91]"
12,"[54,78]","[80,>99]","[54,78]","[51,68]","[70,97]","[53,74]","[48,54]","[70,95]","[60,88]"
11,"[51,70]","[75,99]","[51,68]","[48,57]","[66,93]","[50,66]","[46,46]","[65,93]","[57,82]"
10,"[47,58]","[70,96]","[47,58]","[46,50]","[61,89]","[47,57]","[43,37]","[51,89]","[53,73]"
9,"[44,48]","[65,93]","[44,43]","[43,40]","[57,82]","[50,41]","[41,27]","[57,82]","[50,63]"
8,"[41,28]","[60,89]","[40,26]","[41,26]","[53,69]","[33,38]","[38,13]","[53,76]","[46,50]"
7,"[null, null]","[55,79]","[null, null]","[null, null]","[49,60]","[null, null]","[null, null]","[49,64]","[43,36]"
6,"[null, null]","[50,64]","[null, null]","[null, null]","[44,48]","[null, null]","[null, null]","[44,45]","[39,24]"
5,"[null, null]","[45,50]","[null, null]","[null, null]","[40,32]","[null, null]","[null, null]","[40,28]","[null, null]"
4,"[null, null]","[40,29]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]"
