Raw Score,Inhibit,Self-Monitor,Shift,Emotional Crontrol,Initiate,Working Memory,Plan/Organize,Task-Monitor,Organization of Materials
24,"[88,>99]","[null,null]","[>90,>99]","[84,>99]","[null,null]","[85,>99]","[80,>99]","[null,null]","[null,null]"
23,"[85,>99]","[null,null]","[88,>99]","[82,>99]","[null,null]","[82,>99]","[77,99]","[null,null]","[null,null]"
22,"[82,99]","[null,null]","[85,>99]","[80,99]","[null,null]","[77,99]","[74,98]","[null,null]","[null,null]"
21,"[79,99]","[null,null]","[82,>99[","[76,98]","[null,null]","[76,98]","[72,95]","[null,null]","[null,null]"
20,"[76,99]","[null,null]","[79,99]","[74,96]","[null,null]","[72,98]","[69.92]","[null,null]","[null,null]"
19,"[73,97]","[null,null]","[76,98]","[72,96]","[null,null]","[71,96]","[67,90]","[null,null]","[null,null]"
18,"[70,94]","[null,null]","[72,96]","[68,94]","[null,null]","[67,94]","[64,88]","[null,null]","[76,>99]"
17,"[67,94]","[null,null]","[69,95]","[66,94]","[null,null]","[65,92]","[61,84]","[null,null]","[73,98]"
16,"[64,92]","[null,null]","[66,94]","[64,90]","[null,null]","[61,88]","[59,75]","[null,null]","[70,95]"
15,"[61,87]","[null,null]","[63,91]","[60,84]","[79,>99]","[59,81]","[56,70]","[73,>99]","[67,93]"
14,"[58,83]","[null,null]","[60,86]","[58,80]","[75,>99]","[56,74]","[53,61]","[69,96]","[63.90]"
13,"[5,5,78]","[null,null]","[57,79]","[55,75]","[71,97]","[53,69]","[50,55]","[66,94]","[60,86]"
12,"[52,74]","[78,>99]","[54,73]","[53,71]","[67,93]","[51,64]","[48,49]","[62,90]","[58,82]"
11,"[49,64]","[74,99]","[50,69]","[49,65]","[63,90]","[48,58]","[45,42]","[59,86]","[55,72]"
10,"[46,56]","[69,97]","[47,58]","[47,58]","[59,85]","[46,50]","[43,45]","[56,77]","[52,65]"
9,"[43,42]","[63,93]","[44,48]","[45,48]","[55,71]","[43,41]","[40,29]","[52,62]","[49,.58]"
8,"[40,23]","[59,84]","[41,31]","[41,33]","[51,63]","[40,29]","[38,19]","[49,51]","[56,49]"
7,"[null,null]","[54,70]","[null,null]","[null,null]","[47,52]","[null,null]","[null,null]","[45,44]","[43,38]"
6,"[null,null]","[49,57]","[null,null]","[null,null]","[43,44]","[null,null]","[null,null]","[43,36]","[40,27]"
5,"[null,null]","[44,46]","[null,null]","[null,null]","[40,92]","[null,null]","[null,null]","[38,26]","[null,null]"
4,"[null,null]","[39,28]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]"
