Index Raw,Behavior Regulation,Emotion Regulation,Cognitive Regulation
93,"[null, null]","[null, null]",
92,"[null, null]","[null, null]",
91,"[null, null]","[null, null]",
90,"[null, null]","[null, null]",
89,"[null, null]","[null, null]",
88,"[null, null]","[null, null]",
87,"[null, null]","[null, null]",
86,"[null, null]","[null, null]",
85,"[null, null]","[null, null]",
84,"[null, null]","[null, null]",
83,"[null, null]","[null, null]",
82,"[null, null]","[null, null]",
81,"[null, null]","[null, null]",
80,"[null, null]","[null, null]",
79,"[null, null]","[null, null]",
78,"[null, null]","[null, null]",
77,"[null, null]","[null, null]",
76,"[null, null]","[null, null]",
75,"[null, null]","[null, null]",
74,"[null, null]","[null, null]",
73,"[null, null]","[null, null]",
72,"[null, null]","[null, null]",
71,"[null, null]","[null, null]",
70,"[null, null]","[null, null]",
69,"[null, null]","[null, null]",
68,"[null, null]","[null, null]",
67,"[null, null]","[null, null]",
66,"[null, null]","[null, null]",
65,"[null, null]","[null, null]",
64,"[null, null]","[null, null]",
63,"[null, null]","[null, null]",
62,"[null, null]","[null, null]",
61,"[null, null]","[null, null]",
60,"[null, null]","[null, null]",
59,"[null, null]","[null, null]",
58,"[null, null]","[null, null]",
57,"[null, null]","[null, null]",
56,"[null, null]","[null, null]",
55,"[null, null]","[null, null]",
54,"[null, null]","[null, null]",
53,"[null, null]","[null, null]",
52,"[null, null]","[null, null]",
51,"[null, null]","[null, null]",
50,"[null, null]","[null, null]",
49,"[null, null]","[null, null]",
48,"[null, null]",,
47,"[null, null]",,
46,"[null, null]",,
45,"[null, null]",,
44,"[null, null]",,
43,"[null, null]",,
42,"[null, null]",,
41,"[null, null]",,
40,"[null, null]",,
39,,,
38,,,
37,,,
36,,,
35,,,
34,,,
33,,,
32,,,
31,,,
30,,,"[null, null]"
29,,,"[null, null]"
28,,,"[null, null]"
27,,,"[null, null]"
26,,,"[null, null]"
25,,,"[null, null]"
24,,,"[null, null]"
23,,,"[null, null]"
22,,,"[null, null]"
21,,,"[null, null]"
20,,,"[null, null]"
19,,,"[null, null]"
18,,,"[null, null]"
17,,,"[null, null]"
16,,,"[null, null]"
15,,"[null, null]","[null, null]"
14,,"[null, null]","[null, null]"
13,,"[null, null]","[null, null]"
