Raw Score,Inhibit,Self-Monitor,Shift,Emotional Crontrol,Initiate,Working Memory,Plan/Organize,Task-Monitor,Organization of Materials
24,"[78,>99]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
23,"[75,99]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
22,"[73,99]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
21,"[71,97]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
20,"[68,95]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
19,"[66,93]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
18,"[63,90]","[null, null]",,,"[null, null]",,,,"[null, null]"
17,"[61,87]","[null, null]",,,"[null, null]",,,,"[null, null]"
16,"[59,85]","[null, null]",,,"[null, null]",,,,"[null, null]"
15,"[56,80]","[76,>99]",,,"[null, null]",,,,
14,"[54,72]","[72,99]",,,"[null, null]",,,,
13,"[51,64]","[69,99]",,,"[null, null]",,,,
12,"[49,58]","[65,95]",,,,,,,
11,"[46,47]","[61,93]",,,,,,,
10,"[44,41]","[58,86]",,,,,,,
9,"[41,31]","[54,74]",,,,,,,
8,"[39,18]","[50,68]",,,,,,,
7,"[null, null]","[47,64]","[null, null]","[null, null]",,"[null, null]","[null, null]",,
6,"[null, null]","[45,53]","[null, null]","[null, null]",,"[null, null]","[null, null]",,
5,"[null, null]","[41,37]","[null, null]","[null, null]",,"[null, null]","[null, null]","[null, null]",
4,"[null, null]","[null, null]","[null, null]","[null, null]",,"[null, null]","[null, null]","[null, null]","[null, null]"
