Raw Score,"[78,>99]","[null, null]",Shift,Emotional Crontrol,Initiate,Working Memory,Plan/Organize,Task-Monitor,Organization of Materials
24,"[75,99]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
23,"[73,99]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
22,"[71,97]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
21,"[68,95]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
20,"[66,93]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
19,"[63,90]","[null, null]",,,"[null, null]",,,"[null, null]","[null, null]"
18,"[61,87]","[null, null]",,,"[null, null]",,,,"[null, null]"
17,"[59,85]","[null, null]",,,"[null, null]",,,,"[null, null]"
16,"[56,80]","[76,>99]",,,"[null, null]",,,,"[null, null]"
15,"[54,72]","[72,99]",,,"[null, null]",,,,
14,"[51,64]","[69,99]",,,"[null, null]",,,,
13,"[49,58]","[65,95]",,,"[null, null]",,,,
12,"[46,47]","[61,93]",,,,,,,
11,"[44,41]","[58,86]",,,,,,,
10,"[41,31]","[54,74]",,,,,,,
9,"[39,18]","[50,68]",,,,,,,
8,"[null, null]","[47,64]",,,,,,,
7,"[null, null]","[45,53]","[null, null]","[null, null]",,"[null, null]","[null, null]",,
6,"[null, null]","[41,37]","[null, null]","[null, null]",,"[null, null]","[null, null]",,
5,"[null, null]","[null, null]","[null, null]","[null, null]",,"[null, null]","[null, null]","[null, null]",
4,"[78,>99]","[null, null]","[null, null]","[null, null]",,"[null, null]","[null, null]","[null, null]","[null, null]"
