Raw Score,Inhibit,Self-Monitor,Shift,Emotional Crontrol,Initiate,Working Memory,Plan/Organize,Task-Monitor,Organization of Materials
24,"[78,>99]","[null, null]","[>90,>99]","[>90,>99]","[null, null]","[79,>99]","[79,>99]","[null, null]","[null, null]"
23,"[75,97]","[null, null]","[85,>99]","[88,99]","[null, null]","[76,98]","[77,>99]","[null, null]","[null, null]"
22,"[73,97]","[null, null]","[85,>99]","[85,99]","[null, null]","[74,96]","[74,99]","[null, null]","[null, null]"
21,"[71,96]","[null, null]","[79,99]","[82,98]","[null, null]","[72,95]","[72,97]","[null, null]","[null, null]"
20,"[68,95]","[null, null]","[78,99]","[79,97]","[null, null]","[69,94]","[69,95]","[null, null]","[null, null]"
19,"[66,93]","[null, null]","[73,98]","[78,95]","[null, null]","[67,93]","[67,93]","[null, null]","[null, null]"
18,"[63,90]","[null, null]","[72,95]","[75,94]","[null, null]","[64,90]","[63,90]","[73,>99]","[null, null]"
17,"[61,87]","[null, null]","[67,95]","[72,93]","[null, null]","[62,86]","[62,86]","[70,97]","[null, null]"
16,"[59,79]","[null, null]","[66,92]","[69,93]","[null, null]","[59,77]","[58,80]","[67,94]","[null, null]"
15,"[56,76]","[76,>99]","[61,87]","[66,92]","[null, null]","[57,73]","[55,71]","[64,93]","[81,>99]"
14,"[54,73]","[72,99]","[59,82]","[61,88]","[null, null]","[54,69]","[53,66]","[61,88]","[75,>99]"
13,"[51,67]","[69,95]","[55,73]","[59,85]","[null, null]","[52,64]","[51,58]","[58,82]","[73,98]"
12,"[49,59]","[65,91]","[53,66]","[55,82]","[73,>99]","[49,53]","[48,53]","[54,75]","[68,94]"
11,"[47,53]","[61,89]","[48,57]","[53,80]","[66,95]","[47,51]","[46,51]","[51,60]","[65,92]"
10,"[44,45]","[58,83]","[46,47]","[50,75]","[64,91]","[44,43]","[45,40]","[48,51]","[60,88]"
9,"[42,32]","[54,73]","[42,37]","[47,72]","[60,88]","[42,38]","[42,32]","[45,39]","[57,77]"
8,"[39,18]","[50,58]","[40,25]","[45,59]","[56,81]","[40,30]","[40,20]","[42,33]","[52,64]"
7,"[null, null]","[47,52]","[null, null]","[null, null]","[54,66]","[null, null]","[null, null]","[39,25]","[49,53]"
6,"[null, null]","[45,43]","[null, null]","[null, null]","[50,55]","[null, null]","[null, null]","[36,14]","[44,45]"
5,"[null, null]","[41,29]","[null, null]","[null, null]","[45,45]","[null, null]","[null, null]","[null, null]","[41,36]"
4,"[null, null]","[null, null]","[null, null]","[null, null]","[40,35]","[null, null]","[null, null]","[null, null]","[null, null]"
