Total Raw,Total Raw
180,"[88,>99]"
179,"[88,>99]"
178,"[87,>99]"
177,"[87,>99]"
176,"[86,>99]"
175,"[86,>99]"
174,"[86,>99]"
173,"[85,>99]"
172,"[85,>99]"
171,"[84,>99]"
170,"[84,>99]"
169,"[83,>99]"
168,"[83,>99]"
167,"[83,>99]"
166,"[82,>99]"
165,"[82,>99]"
164,"[81,>99]"
163,"[81,>99]"
162,"[81,>99]"
161,"[80,>99]"
160,"[80,>99]"
159,"[79,>99]"
158,"[79,>99]"
157,"[78,>99]"
156,"[78,>99]"
155,"[78,>99]"
154,"[77,>99]"
153,"[77,>99]"
152,"[76,>99]"
151,"[76,>99]"
150,"[76,>99]"
149,"[75,99]"
148,"[75,99]"
147,"[74,99]"
146,"[74,99]"
145,"[73,99]"
144,"[73,99]"
143,"[73,98]"
142,"[72,98]"
141,"[72,97]"
140,"[71,97]"
139,"[71,97]"
138,"[71,97]"
137,"[70,97]"
136,"[70,96]"
135,"[69,96]"
134,"[69,95]"
133,"[68,95]"
132,"[68,93]"
131,"[68,92]"
130,"[67,92]"
129,"[67,91]"
128,"[66,91]"
127,"[66,90]"
126,"[66,90]"
125,"[65,90]"
124,"[65,90]"
123,"[64,89]"
122,"[64,88]"
121,"[63,88]"
120,"[63,87]"
119,"[63,86]"
118,"[62,84]"
117,"[62,83]"
116,"[61,82]"
115,"[61,81]"
114,"[61,80]"
113,"[60,80]"
112,"[60,80]"
111,"[59,80]"
110,"[59,79]"
109,"[58,78]"
108,"[58,77]"
107,"[58,77]"
106,"[57,77]"
105,"[57,76]"
104,"[56,75]"
103,"[56,75]"
102,"[56,75]"
101,"[55,74]"
100,"[55,73]"
99,"[54,71]"
98,"[54,69]"
97,"[53,68]"
96,"[53,67]"
95,"[53,64]"
94,"[52,64]"
93,"[52,64]"
92,"[51,62]"
91,"[51,61]"
90,"[51,61]"
89,"[51,60]"
88,"[50,60]"
87,"[49,58]"
86,"[48,56]"
85,"[48,56]"
84,"[48,54]"
83,"[47,53]"
82,"[47,52]"
81,"[46,52]"
80,"[46,51]"
79,"[45,48]"
78,"[45,46]"
77,"[45,44]"
76,"[44,42]"
75,"[44,40]"
74,"[43,40]"
73,"[43,38]"
72,"[43,36]"
71,"[42,33]"
70,"[42,30]"
69,"[41,27]"
68,"[41,25]"
67,"[41,21]"
66,"[40,19]"
65,"[40,15]"
64,"[40,12]"
63,"[39,9]"
62,"[38,8]"
61,"[38,6]"
60,"[38,4]"
