Total Raw,Total Raw
180,"[>90,>99]"
179,"[>90,>99]"
178,"[90,>99]"
177,"[90,>99]"
176,"[89,>99]"
175,"[89,>99]"
174,"[88,>99]"
173,"[88,>99]"
172,"[88,>99]"
171,"[87,>99]"
170,"[87,>99]"
169,"[86,>99]"
168,"[86,>99]"
167,"[85,>99]"
166,"[85,>99]"
165,"[84,>99]"
164,"[84,>99]"
163,"[83,>83]"
162,"[83,>83]"
161,"[83,>83]"
160,"[82,>99]"
159,"[82,>99]"
158,"[81,>99]"
157,"[81,>99]"
156,"[80,>99]"
155,"[80,>99]"
154,"[79,>99]"
153,"[79,>99]"
152,"[78,>99]"
151,"[78,>99]"
150,"[78,99]"
149,"[77,99]"
148,"[77,99]"
147,"[76,99]"
146,"[76,99]"
145,"[75,99]"
144,"[75,99]"
143,"[74,99]"
142,"[74,99]"
141,"[73,99]"
140,"[73,99]"
139,"[72,99]"
138,"[72,99]"
137,"[72,99]"
136,"[71,99]"
135,"[71,99]"
134,"[70,99]"
133,"[70,99]"
132,"[70,99]"
131,"[69,97]"
130,"[69,97]"
129,"[68,97]"
128,"[68,97]"
127,"[67,95]"
126,"[67,95]"
125,"[66,94]"
124,"[66,94]"
123,"[65,94]"
122,"[65,94]"
121,"[64,93]"
120,"[64,93]"
119,"[63,93]"
118,"[63,93]"
117,"[63,93]"
116,"[62,92]"
115,"[62,92]"
114,"[61,91]"
113,"[61,91]"
112,"[60,91]"
111,"[60,91]"
110,"[59,90]"
109,"[59,90]"
108,"[58,88]"
107,"[58,88]"
106,"[57,86]"
105,"[57,86]"
104,"[56,86]"
103,"[56,86]"
102,"[56,86]"
101,"[55,83]"
100,"[55,83]"
99,"[54,81]"
98,"[54,81]"
97,"[53,76]"
96,"[53,76]"
95,"[52,71]"
94,"[52,71]"
93,"[51,69]"
92,"[51,69]"
91,"[50,65]"
90,"[50,65]"
89,"[49,64]"
88,"[49,64]"
87,"[49,64]"
86,"[48,60]"
85,"[48,60]"
84,"[47,52]"
83,"[47,52]"
82,"[46,48]"
81,"[46,48]"
80,"[45,42]"
79,"[45,42]"
78,"[45,42]"
77,"[44,32]"
76,"[44,32]"
75,"[43,29]"
74,"[43,29]"
73,"[42,25]"
72,"[42,25]"
71,"[41,23]"
70,"[41,23]"
69,"[40,20]"
68,"[40,20]"
67,"[39,14]"
66,"[39,14]"
65,"[39,14]"
64,"[38,12]"
63,"[37,10]"
62,"[37,10]"
61,"[36,3]"
60,"[36,3]"
