Index Raw,Behavior Regulation,Emotion Regulation,Cognitive Regulation
96,"[null, null]","[null, null]","[80, >99]"
95,"[null, null]","[null, null]","[79, >99]"
94,"[null, null]","[null, null]","[78, >99]"
93,"[null, null]","[null, null]","[77,>99]"
92,"[null, null]","[null, null]","[77,>99]"
91,"[null, null]","[null, null]","[76,>99]"
90,"[null, null]","[null, null]","[75,>99]"
89,"[null, null]","[null, null]","[75,>99]"
88,"[null, null]","[null, null]","74,>99]"
87,"[null, null]","[null, null]","[73,>99]"
86,"[null, null]","[null, null]","[73,>99]"
85,"[null, null]","[null, null]","[72,>99]"
84,"[null, null]","[null, null]","[71,>99]"
83,"[null, null]","[null, null]","[71,99]"
82,"[null, null]","[null, null]","[70,99]"
81,"[null, null]","[null, null]","[69,99]"
80,"[null, null]","[null, null]","[69,99]"
79,"[null, null]","[null, null]","[68,99]"
78,"[null, null]","[null, null]","[67,99]"
77,"[null, null]","[null, null]","[67,99]"
76,"[null, null]","[null, null]","[66,99]"
75,"[null, null]","[null, null]","[65,98]"
74,"[null, null]","[null, null]","[65,98]"
73,"[null, null]","[null, null]","[64,98]"
72,"[null, null]","[null, null]","[63,97]"
71,"[null, null]","[null, null]","[62,96]"
70,"[null, null]","[null, null]","[62,96]"
69,"[null, null]","[null, null]","[61,95]"
68,"[null, null]","[null, null]","[60,94]"
67,"[null, null]","[null, null]","[60,94]"
66,"[null, null]","[null, null]","[59,90]"
65,"[null, null]","[null, null]","[58,87]"
64,"[null, null]","[null, null]","[58,87]"
63,"[null, null]","[null, null]","[57,83]"
62,"[null, null]","[null, null]","[56,82]"
61,"[null, null]","[null, null]","[56,82]"
60,"[null, null]","[null, null]","[55,78]"
59,"[null, null]","[null, null]","[54,76]"
58,"[null, null]","[null, null]","[54,76]"
57,"[null, null]","[null, null]","[53,74]"
56,"[null, null]","[null, null]","[52,72]"
55,"[null, null]","[null, null]","[52,72]"
54,"[null, null]","[null, null]","[51,66]"
53,"[null, null]","[null, null]","[50,66]"
52,"[null, null]","[null, null]","[50,66]"
51,"[null, null]","[null, null]","[49,60]"
50,"[null, null]","[null, null]","[48,58]"
49,"[null, null]","[null, null]","[47,56]"
48,"[null, null]","[88,>99]","[47,56]"
47,"[null, null]","[86,>99]","[46,49]"
46,"[null, null]","[85,>99]","[45,45]"
45,"[null, null]","[83,>99]","[45,45]"
44,"[null, null]","[82,99]","[44,38]"
43,"[null, null]","[80,99]","[43,34]"
42,"[null, null]","[79,99]","[43,34]"
41,"[null, null]","[77,99]","[42,30]"
40,"[null, null]","[76,99]","[41,24]"
39,"[null, null]","[74,98]","[41,24]"
38,"[null, null]","[73,98]","[40,21]"
37,"[null, null]","[71,97]","[39,20]"
36,"[82,>99]","[70,95]","[39,20]"
35,"[80,>99]","[68,95]","[38,15]"
34,"[77,>99]","[67,93]","[37,12]"
33,"[76,>99]","[65,93]","[36,6]"
32,"[73,99]","[63,90]","[35,3]"
31,"[72,97]","[62,88]","[null, null]"
30,"[70,96]","[60,84]","[null, null]"
29,"[68,95]","[59,83]","[null, null]"
28,"[66,95]","[57,79]","[null, null]"
27,"[64,92]","[56,77]","[null, null]"
26,"[62,88]","[54,69]","[null, null]"
25,"[61,88]","[53,68]","[null, null]"
24,"[59,85]","[51,62]","[null, null]"
23,"[57,82]","[50,58]","[null, null]"
22,"[55,73]","[48,65]","[null, null]"
21,"[53,66]","[47,53]","[null, null]"
20,"[51,60]","[45,45]","[null, null]"
19,"[49,53]","[44,40]","[null, null]"
18,"[47,43]","[42,32]","[null, null]"
17,"[45,37]","[41,23]","[null, null]"
16,"[43,32]","[39,14]","[null, null]"
15,"[41,28]","[null, null]","[null, null]"
14,"[39,21]","[null, null]","[null, null]"
13,"[37,14]","[null, null]","[null, null]"
12,"[35,4]","[null, null]","[null, null]"
