Raw Score,Inhibit,Self-Monitor,Shift,Emotional Crontrol,Initiate,Working Memory,Plan/Organize,Task-Monitor,Organization of Materials
24,"[79,>99]","[null,null]","[>90,>99]","[84,>99]","[null,null]","[80,>99]","[79,>99]","[null,null]","[null,null]"
23,"[77,99]","[null,null]","[88,>99]","[81,>99]","[null,null]","[77,>99]","[76,>99]","[null,null]","[null,null]"
22,"[75,99]","[null,null]","[85,>99]","[78,>99]","[null,null]","[74,99]","[73,99]","[null,null]","[null,null]"
21,"[72,96]","[null,null]","[82,99]","[76,97]","[null,null]","[72,97]","[71,98]","[null,null]","[null,null]"
20,"[69,94]","[null,null]","[79,99]","[73,96]","[null,null]","[69,94]","[68,96]","[null,null]","[null,null]"
19,"[66,93]","[null,null]","[76,98]","[70,96]","[null,null]","[66,90]","[66,94]","[null,null]","[null,null]"
18,"[64,91]","[null,null]","[72,97]","[67,93]","[null,null]","[64,86]","[63,88]","[null,null]","[76,>99]"
17,"[61,88]","[null,null]","[69,97]","[65,93]","[null,null]","[63,84]","[60,86]","[null,null]","[73,98]"
16,"[59,84]","[null,null]","[66,94]","[62,88]","[null,null]","[59,78]","[58,82]","[null,null]","[70,97]"
15,"[56,79]","[null,null]","[62,90]","[59,84]","[79,>99]","[55,74]","[55,73]","[73,>99]","[67,93]"
14,"[53,71]","[null,null]","[59,85]","[57,79]","[75,>99]","[52,68]","[52,66]","[69,97]","[63,90]"
13,"[51,63]","[null,null]","[56,77]","[54,74]","[71,99]","[50,57]","[50,57]","[66,94]","[60,86]"
12,"[48,53]","[78,>99]","[52,69]","[51,67]","[67,96]","[49,51]","[47,50]","[62,91]","[57,82]"
11,"[45,43]","[74,97]","[49,62]","[48,60]","[63,90]","[45,44]","[45,40]","[58,84]","[54,74]"
10,"[43,35]","[68,97]","[46,51]","[46,52]","[59,87]","[43,36]","[42,32]","[54,75]","[50,63]"
9,"[40,24]","[63,90]","[43,36]","[43,38]","[55,71]","[41,31]","[39,21]","[50,56]","[47,53]"
8,"[38,12]","[58,87]","[39,20]","[40,26]","[50,61]","[38,18]","[37,12]","[46,47]","[45,37]"
7,"[null,null]","[54,75]","[null,null]","[null,null]","[46,47]","[null,null]","[null,null]","[44,36]","[42,25]"
6,"[null,null]","[49,60]","[null,null]","[null,null]","[42,36]","[null,null]","[null,null]","[39,19]","[38,17]"
5,"[null,null]","[44,45]","[null,null]","[null,null]","[38,23]","[null,null]","[null,null]","[35,10]","[null,null]"
4,"[null,null]","[39,25]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]","[null,null]"
