Total Raw,Total Raw
180,"[>90,>99]"
179,"[>90,>99]"
178,"[90,>99]"
177,"[90,>99]"
176,"[89,>99]"
175,"[89,>99]"
174,"[88,>99]"
173,"[88,>99]"
172,"[87,>99]"
171,"[87,>99]"
170,"[86,>99]"
169,"[86,>99]"
168,"[85,>99]"
167,"[85,>99]"
166,"[84,>99]"
165,"[84,99]"
164,"[84,99]"
163,"[83,99]"
162,"[83,99]"
161,"[82,99]"
160,"[82,99]"
159,"[81,99]"
158,"[81,99]"
157,"[80,98]"
156,"[80,98]"
155,"[79,98]"
154,"[79,98]"
153,"[78,98]"
152,"[78,98]"
151,"[77,98]"
150,"[77,98]"
149,"[76,98]"
148,"[76,98]"
147,"[76,98]"
146,"[75,98]"
145,"[75,98]"
144,"[74,98]"
143,"[74,98]"
142,"[73,98]"
141,"[73,98]"
140,"[72,98]"
139,"[72,98]"
138,"[71,98]"
137,"[71,98]"
136,"[70,97]"
135,"[70,97]"
134,"[69,97]"
133,"[69,97]"
132,"[69,97]"
131,"[68,94]"
130,"[68,94]"
129,"[67,93]"
128,"[67,93]"
127,"[66,93]"
126,"[66,93]"
125,"[65,92]"
124,"[65,92]"
123,"[64,90]"
122,"[64,90]"
121,"[63,88]"
120,"[63,88]"
119,"[62,88]"
118,"[62,88]"
117,"[61,87]"
116,"[61,87]"
115,"[61,87]"
114,"[60,85]"
113,"[60,85]"
112,"[59,82]"
111,"[59,82]"
110,"[58,80]"
109,"[58,80]"
108,"[57,77]"
107,"[57,77]"
106,"[56,75]"
105,"[56,75]"
104,"[55,71]"
103,"[55,71]"
102,"[55,71]"
101,"[54,69]"
100,"[54,69]"
99,"[54,69]"
98,"[53,63]"
97,"[53,63]"
96,"[52,62]"
95,"[52,62]"
94,"[52,62]"
93,"[51,61]"
92,"[51,60]"
91,"[50,57]"
90,"[50,57]"
89,"[49,55]"
88,"[49,55]"
87,"[49,55]"
86,"[48,54]"
85,"[48,54]"
84,"[47,50]"
83,"[47,50]"
82,"[46,46]"
81,"[46,46]"
80,"[46,46]"
79,"[45,42]"
78,"[45,42]"
77,"[44,36]"
76,"[44,36]"
75,"[44,36]"
74,"[43,31]"
73,"[43,31]"
72,"[42,29]"
71,"[42,29]"
70,"[41,25]"
69,"[41,25]"
68,"[41,25]"
67,"[40,19]"
66,"[40,19]"
65,"[39,16]"
64,"[39,16]"
63,"[38,12]"
62,"[38,12]"
61,"[38,12]"
60,"[37,5]"
