Index Raw," Behavior Regulation"," Emotion Regulation"," Cognitive Regulation"
96,"[null, null]","[null, null]","[87,>99]"
95,"[null, null]","[null, null]","[86,>99]"
94,"[null, null]","[null, null]","[85,>99]"
93,"[null, null]","[null, null]","[85,>99]"
92,"[null, null]","[null, null]","[84,>99]"
91,"[null, null]","[null, null]","[84,>99]"
90,"[null, null]","[null, null]","[82,>99]"
89,"[null, null]","[null, null]","[81,>99]"
88,"[null, null]","[null, null]","[81,>99]"
87,"[null, null]","[null, null]","[80,>99]"
86,"[null, null]","[null, null]","[79,99]"
85,"[null, null]","[null, null]","[78,99]"
84,"[null, null]","[null, null]","[77,99]"
83,"[null, null]","[null, null]","[77,99]"
82,"[null, null]","[null, null]","[76,97]"
81,"[null, null]","[null, null]","[75,96]"
80,"[null, null]","[null, null]","[74,95]"
79,"[null, null]","[null, null]","[74,95]"
78,"[null, null]","[null, null]","[73,94]"
77,"[null, null]","[null, null]","[72,94]"
76,"[null, null]","[null, null]","[71,94]"
75,"[null, null]","[null, null]","[70,94]"
74,"[null, null]","[null, null]","[70,94]"
73,"[null, null]","[null, null]","[69,93]"
72,"[null, null]","[null, null]","[68,92]"
71,"[null, null]","[null, null]","[67,92]"
70,"[null, null]","[null, null]","[66,91]"
69,"[null, null]","[null, null]","[66,91]"
68,"[null, null]","[null, null]","[65,90]"
67,"[null, null]","[null, null]","[64,90]"
66,"[null, null]","[null, null]","[63,90]"
65,"[null, null]","[null, null]","[62,88]"
64,"[null, null]","[null, null]","[62,88]"
63,"[null, null]","[null, null]","[61,85]"
62,"[null, null]","[null, null]","[60,82]"
61,"[null, null]","[null, null]","[59,80]"
60,"[null, null]","[null, null]","[58,80]"
59,"[null, null]","[null, null]","[58,80]"
58,"[null, null]","[null, null]","[57,78]"
57,"[null, null]","[null, null]","[56,78]"
56,"[null, null]","[null, null]","[55,76]"
55,"[null, null]","[null, null]","[54,73]"
54,"[null, null]","[null, null]","[54,73]"
53,"[null, null]","[null, null]","[53,68]"
52,"[null, null]","[null, null]","[52,62]"
51,"[null, null]","[null, null]","[51,60]"
50,"[null, null]","[null, null]","[51,60]"
49,"[null, null]","[null, null]","[50,53]"
48,"[null, null]","[>90,>99]","[49,49]"
47,"[null, null]","[>90,>99]","[48,48]"
46,"[null, null]","[>90,>99]","[47,47]"
45,"[null, null]","[89,>99]","[47,47]"
44,"[null, null]","[87,>99]","[46,43]"
43,"[null, null]","[85,>99]","[45,39]"
42,"[null, null]","[84,>99]","[45,39]"
41,"[null, null]","[82,>99]","[44,35]"
40,"[null, null]","[80,99]","[43,33]"
39,"[null, null]","[79,99]","[42,31]"
38,"[null, null]","[77,99]","[42,31]"
37,"[null, null]","[75,98]","[41,26]"
36,"[>90,>99]","[73,98]","[40,21]"
35,"[89,>99]","[72,97]","[39,18]"
34,"[87,99]","[70,97]","[39,18]"
33,"[84,99]","[68,95]","[38,8]"
32,"[82,99]","[66,95]","[37,3]"
31,"[80,99]","[66,95]","[null, null]"
30,"[77,99]","[65,93]","[null, null]"
29,"[75,99]","[63,90]","[null, null]"
28,"[73,99]","[61,86]","[null, null]"
27,"[71,98]","[58,81]","[null, null]"
26,"[69,96]","[57,80]","[null, null]"
25,"[66,95]","[56,75]","[null, null]"
24,"[64,92]","[54,80]","[null, null]"
23,"[62,88]","[52,69]","[null, null]"
22,"[60,84]","[51,63]","[null, null]"
21,"[57,81]","[49,56]","[null, null]"
20,"[55,77]","[47,52]","[null, null]"
19,"[53,70]","[46,44]","[null, null]"
18,"[51,61]","[42,29]","[null, null]"
17,"[48,53]","[41,25]","[null, null]"
16,"[46,46]","[39,17]","[null, null]"
15,"[44,35]","[null, null]","[null, null]"
14,"[42,27]","[null, null]","[null, null]"
13,"[39,21]","[null, null]","[null, null]"
12,"[37,11]","[null, null]","[null, null]"
