Raw Score," Inhibit","  Self-Monitor","  Shift","Emotional Crontrol","  Initiate","Working Memory","  Plan/Organize","Task-Monitor","  Organization of Materials "
24,"[>90,>99]","[null, null]","[>90,>99]","[83,>99]","[null, null]","[83,>99]","[79,>99]","[null, null]","[null, null]"
23,"[89,>99]","[null, null]","[>90,>99]","[80,>99]","[null, null]","[80,99]","[77,>99]","[null, null]","[null, null]"
22,"[85,99]","[null, null]","[90,>99]","[78,99]","[null, null]","[78,99]","[74,99]","[null, null]","[null, null]"
21,"[82,99]","[null, null]","[86,>99]","[75,99]","[null, null]","[75,99]","[71,97]","[null, null]","[null, null]"
20,"[79,99]","[null, null]","[83,99]","[74,99]","[null, null]","[72,99]","[69,94]","[null, null]","[null, null]"
19,"[75,98]","[null, null]","[79,99]","[71,99]","[null, null]","[70,97]","[66,91]","[null, null]","[null, null]"
18,"[72,97]","[null, null]","[76,99]","[68,95]","[null, null]","[67,95]","[63,90]","[null, null]","[77,>99]"
17,"[68,95]","[null, null]","[72,99]","[65,93]","[null, null]","[64,92]","[61,88]","[null, null]","[74,97]"
16,"[65,94]","[null, null]","[68,97]","[62,90]","[null, null]","[61,88]","[58,85]","[null, null]","[71,96]"
15,"[62,89]","[null, null]","[65,92]","[60,82]","[84,>99]","[59,85]","[56,80]","[77,>99]","[67,94]"
14,"[58,85]","[null, null]","[61,88]","[56,75]","[79,99]","[56,78]","[53,69]","[73,99]","[64,92]"
13,"[55,79]","[null, null]","[58,82]","[54,71]","[75,99]","[53,69]","[50,60]","[69,96]","[61,88]"
12,"[51,69]","[80,>99]","[54,73]","[51,63]","[70,97]","[51,63]","[48,50]","[65,94]","[58,82]"
11,"[48,55]","[75,99]","[50,64]","[48,57]","[66,95]","[48,56]","[46,41]","[61,92]","[57,76]"
10,"[45,39]","[70,98]","[47,52]","[46,52]","[61,90]","[45,47]","[43,33]","[57,89]","[53,67]"
9,"[41,30]","[65,96]","[43,39]","[43,33]","[57,80]","[43,38]","[40,21]","[53,77]","[49,54]"
8,"[38,15]","[60,87]","[40,26]","[40,26]","[52,72]","[40,24]","[37,11]","[49,63]","[46,45]"
7,"[null, null]","[54,74]","[null, null]","[null, null]","[48,56]","[null, null]","[null, null]","[47,52]","[42,35]"
6,"[null, null]","[49,58]","[null, null]","[null, null]","[44,43]","[null, null]","[null, null]","[42,36]","[39,18]"
5,"[null, null]","[44,45]","[null, null]","[null, null]","[39.25]","[null, null]","[null, null]","[38,19]","[null, null]"
4,"[null, null]","[39,28]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]"
