Raw Score," Inhibit","  Self-Monitor","  Shift","  Emotional Crontrol","  Initiate","  Working Memory","  Plan/Organize","  Task-Monitor","  Organization of Materials "
24,"[87,>99]","[null, null]","[>90,>99]","[83,>99]","[null, null]","[83,>99]","[79,>99]","[null, null]","[null, null]"
23,"[84,99]","[null, null]","[90,>99]","[80,>99]","[null, null]","[80,>99]","[77,>99]","[null, null]","[null, null]"
22,"[81,99]","[null, null]","[87,>99]","[77,99]","[null, null]","[77,>99]","[74,>99]","[null, null]","[null, null]"
21,"[78,99]","[null, null]","[84,99]","[75,99]","[null, null]","[75,99]","71,>99]","[null, null]","[null, null]"
20,"[74,99]","[null, null]","[80,99]","[72,98]","[null, null]","[72,97]","[69,99]","[null, null]","[null, null]"
19,"[71,97]","[null, null]","[77,98]","[70,96]","[null, null]","[69,97]","[66,99]","[null, null]","[null, null]"
18,"[68,95]","[null, null]","[72,97]","[67,95]","[null, null]","[66,94]","[63,97]","[null, null]","[77,>99]"
17,"[65,94]","[null, null]","[71,97]","[64,92]","[null, null]","[64,94]","[61,95]","[null, null]","[74,>99]"
16,"[62,90]","[null, null]","[67,97]","[62,91]","[null, null]","[61,92]","[58,94]","[null, null]","[71,>99]"
15,"[59,86]","[null, null]","[62,95]","[59,85]","[84,>99]","[58,90]","[56,91]","[77,>99]","[67,>99]"
14,"[55,77]","[null, null]","[61,91]","[56,80]","[79,>99]","[55,86]","[53,88]","[73,99]","[64,99]"
13,"[52,69]","[null, null]","[56,81]","[54,74]","[75,99]","[53,79]","[50,78]","[69,99]","[61,97]"
12,"[49,58]","[79,>99]","[53,75]","[51,67]","[70,99]","[50,70]","[48,72]","[65,97]","[58,93]"
11,"[46,44]","[74,>99]","[49,60]","[48,59]","[66,99]","[47,60]","[46,64]","[61,95]","[57,91]"
10,"[43,33]","[69,99]","[46,49]","[46,52]","[61,93]","[44,47]","[43,49]","[57,91]","[53,83]"
9,"[40,20]","[64,96]","[43,36]","[43,41]","[57,86]","[42,33]","[40,40]","[53,84]","[49,73]"
8,"[36,12]","[59,91]","[39,22]","[40,29]","[52,78]","[39,20]","[37,18]","[49,71]","[46,50]"
7,"[null, null]","[54,78]","[null, null]","[null, null]","[48,67]","[null, null]","[null, null]","[47,55]","[42,28]"
6,"[null, null]","[49,62]","[null, null]","[null, null]","[43,50]","[null, null]","[null, null]","[41,35]","[37,19]"
5,"[null, null]","[44,48]","[null, null]","[null, null]","[39,29]","[null, null]","[null, null]","[38,20]","[null, null]"
4,"[null, null]","[39,26]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]","[null, null]"
