Total Raw," [T %]"
180,"[>90,>99]"
179,"[>90,>99]"
178,"[90,>99]"
177,"[90,>99]"
176,"[89,>99]"
175,"[89,>99]"
174,"[88,>99]"
173,"[88,>99]"
172,"[88,>99]"
171,"[87,>99]"
170,"[87,>99]"
169,"[86,>99]"
168,"[86,>99]"
167,"[85,>99]"
166,"[85,>99]"
165,"[84,>99]"
164,"[84,>99]"
163,"[83,>83]"
162,"[83,>83]"
161,"[83,>83]"
160,"[82,>99]"
159,"[82,>99]"
158,"[81,>99]"
157,"[81,>99]"
156,"[80,>99]"
155,"[80,>99]"
154,"[79,99]"
153,"[79,99]"
152,"[78,99]"
151,"[78,99]"
150,"[78,99]"
149,"[77,99]"
148,"[77,99]"
147,"[76,99]"
146,"[76,99]"
145,"[75,99]"
144,"[75,99]"
143,"[74,98]"
142,"[74,98]"
141,"[73,98]"
140,"[73,98]"
139,"[72,97]"
138,"[72,97]"
137,"[72,97]"
136,"[71,97]"
135,"[71,97]"
134,"[70,96]"
133,"[70,96]"
132,"[70,96]"
131,"[69,94]"
130,"[69,94]"
129,"[68,92]"
128,"[68,92]"
127,"[67,91]"
126,"[67,91]"
125,"[66,91]"
124,"[66,91]"
123,"[65,90]"
122,"[65,90]"
121,"[64,89]"
120,"[64,89]"
119,"[63,88]"
118,"[63,88]"
117,"[63,88]"
116,"[62,87]"
115,"[62,87]"
114,"[61,86]"
113,"[61,86]"
112,"[60,84]"
111,"[60,84]"
110,"[59,84]"
109,"[59,84]"
108,"[58,83]"
107,"[58,83]"
106,"[57,81]"
105,"[57,81]"
104,"[56,80]"
103,"[56,80]"
102,"[56,80]"
101,"[55,77]"
100,"[55,77]"
99,"[54,71]"
98,"[54,71]"
97,"[53,69]"
96,"[53,69]"
95,"[52,66]"
94,"[52,66]"
93,"[51,63]"
92,"[51,63]"
91,"[50,60]"
90,"[50,60]"
89,"[49,58]"
88,"[49,58]"
87,"[49,58]"
86,"[48,52]"
85,"[48,52]"
84,"[47,46]"
83,"[47,46]"
82,"[46,43]"
81,"[46,43]"
80,"[45,35]"
79,"[45,35]"
78,"[45,35]"
77,"[44,31]"
76,"[44,31]"
75,"[43,29]"
74,"[43,29]"
73,"[42,26]"
72,"[42,26]"
71,"[41,23]"
70,"[41,23]"
69,"[40,18]"
68,"[40,18]"
67,"[39,12]"
66,"[39,12]"
65,"[39,12]"
64,"[38,7]"
63,"[37,7]"
62,"[37,7]"
61,"[36,2]"
60,"[36,2]"
