Index Raw,"Behavior Regulation"," Emotion Regulation","Cognitive Regulation"
96,"[null, null]","[null, null]","[82,>99]"
95,"[null, null]","[null, null]","[82,>99]"
94,"[null, null]","[null, null]","[81,>99]"
93,"[null, null]","[null, null]","[80,>99]"
92,"[null, null]","[null, null]","[80,>99]"
91,"[null, null]","[null, null]","[79,>99]"
90,"[null, null]","[null, null]","[78,>99]"
89,"[null, null]","[null, null]","[77,99]"
88,"[null, null]","[null, null]","[77,99]"
87,"[null, null]","[null, null]","[76,99]"
86,"[null, null]","[null, null]","[75,99]"
85,"[null, null]","[null, null]","[75,99]"
84,"[null, null]","[null, null]","[74,98]"
83,"[null, null]","[null, null]","[73,96]"
82,"[null, null]","[null, null]","[72,96]"
81,"[null, null]","[null, null]","[72,96]"
80,"[null, null]","[null, null]","[71,94]"
79,"[null, null]","[null, null]","[70,92]"
78,"[null, null]","[null, null]","[70,92]"
77,"[null, null]","[null, null]","[69,92]"
76,"[null, null]","[null, null]","[68,92]"
75,"[null, null]","[null, null]","[67,91]"
74,"[null, null]","[null, null]","[67,91]"
73,"[null, null]","[null, null]","[66,91]"
72,"[null, null]","[null, null]","[65,90]"
71,"[null, null]","[null, null]","[65,90]"
70,"[null, null]","[null, null]","[64,88]"
69,"[null, null]","[null, null]","[63,87]"
68,"[null, null]","[null, null]","[62,86]"
67,"[null, null]","[null, null]","[62,86]"
66,"[null, null]","[null, null]","[61,83]"
65,"[null, null]","[null, null]","[60,82]"
64,"[null, null]","[null, null]","[60,82]"
63,"[null, null]","[null, null]","[59,79]"
62,"[null, null]","[null, null]","[58,77]"
61,"[null, null]","[null, null]","[58,77]"
60,"[null, null]","[null, null]","[57,73]"
59,"[null, null]","[null, null]","[56,72]"
58,"[null, null]","[null, null]","[55,69]"
57,"[null, null]","[null, null]","[54,67]"
56,"[null, null]","[null, null]","[53,65]"
55,"[null, null]","[null, null]","[53,65]"
54,"[null, null]","[null, null]","[52,61]"
53,"[null, null]","[null, null]","[52,61]"
52,"[null, null]","[null, null]","[51,59]"
51,"[null, null]","[null, null]","[50,57]"
50,"[null, null]","[null, null]","[50,57]"
49,"[null, null]","[null, null]","[49,52]"
48,"[null, null]","[90,>99]","[48,50]"
47,"[null, null]","[89,>99]","[48,50]"
46,"[null, null]","[87,>99]","[47,46]"
45,"[null, null]","[86,>99]","[47,46]"
44,"[null, null]","[84,>99]","[46,43]"
43,"[null, null]","[83,>99]","[45,42]"
42,"[null, null]","[81,>99]","[45,42]"
41,"[null, null]","[79,99]","[44,38]"
40,"[null, null]","[78,98]","[43,36]"
39,"[null, null]","[76,98]","[43,36]"
38,"[null, null]","[75,98]","[42,33]"
37,"[null, null]","[73,96]","[41,32]"
36,"[86,>99]","[72,96]","[41,32]"
35,"[84,>99]","[70,96]","[40,25]"
34,"[82,>99]","[69,94]","[40,25]"
33,"[80,>99]","[67,94]","[39,15]"
32,"[78,>99]","[65,93]","[38,10]"
31,"[76,99]","[64,91]","[null, null]"
30,"[74,98]","[62,88]","[null, null]"
29,"[72,97]","[61,85]","[null, null]"
28,"[70,96]","[59,83]","[null, null]"
27,"[69,94]","[58,82]","[null, null]"
26,"[67,92]","[56,77]","[null, null]"
25,"[65,91]","[55,74]","[null, null]"
24,"[63,89]","[53,70]","[null, null]"
23,"[61,85]","[52,68]","[null, null]"
22,"[59,82]","[50,65]","[null, null]"
21,"[57,79]","[48,59]","[null, null]"
20,"[55,76]","[47,54]","[null, null]"
19,"[53,69]","[45,47]","[null, null]"
18,"[51,65]","[44,40]","[null, null]"
17,"[49,60]","[42,33]","[null, null]"
16,"[47,52]","[41,22]","[null, null]"
15,"[45,46]","[null, null]","[null, null]"
14,"[43,40]","[null, null]","[null, null]"
13,"[41,27]","[null, null]","[null, null]"
12,"[39,17]","[null, null]","[null, null]"
